Algorithm_name,env_n,estates_n,solution_found
BFSAgent,0,4014,True
DFSAgent,0,5456,True
LimitedDFSAgent,0,1248,True
UniformCostAgent,0,4014,True
BFSAgent,1,2402,True
DFSAgent,1,3108,True
LimitedDFSAgent,1,1879,True
UniformCostAgent,1,2402,True
BFSAgent,2,7955,True
DFSAgent,2,6872,True
LimitedDFSAgent,2,1444,False
UniformCostAgent,2,7955,True
BFSAgent,3,2916,True
DFSAgent,3,3197,True
LimitedDFSAgent,3,2617,False
UniformCostAgent,3,2916,True
BFSAgent,4,3761,True
DFSAgent,4,6580,True
LimitedDFSAgent,4,2649,False
UniformCostAgent,4,3761,True
BFSAgent,5,7762,True
DFSAgent,5,5845,True
LimitedDFSAgent,5,1619,False
UniformCostAgent,5,7762,True
BFSAgent,6,6282,True
DFSAgent,6,5009,True
LimitedDFSAgent,6,1955,False
UniformCostAgent,6,6282,True
BFSAgent,7,159,True
DFSAgent,7,5898,True
LimitedDFSAgent,7,1956,True
UniformCostAgent,7,159,True
BFSAgent,8,8439,True
DFSAgent,8,7040,True
LimitedDFSAgent,8,3479,False
UniformCostAgent,8,8439,True
BFSAgent,9,9132,True
DFSAgent,9,8645,True
LimitedDFSAgent,9,1706,False
UniformCostAgent,9,9132,True
BFSAgent,10,6108,True
DFSAgent,10,3037,True
LimitedDFSAgent,10,1755,False
UniformCostAgent,10,6108,True
BFSAgent,11,8251,True
DFSAgent,11,7786,True
LimitedDFSAgent,11,4111,False
UniformCostAgent,11,8251,True
BFSAgent,12,8294,True
DFSAgent,12,6568,True
LimitedDFSAgent,12,3333,False
UniformCostAgent,12,8294,True
BFSAgent,13,3800,True
DFSAgent,13,5066,True
LimitedDFSAgent,13,2327,False
UniformCostAgent,13,3800,True
BFSAgent,14,7636,True
DFSAgent,14,2196,True
LimitedDFSAgent,14,1618,False
UniformCostAgent,14,7636,True
BFSAgent,15,7002,True
DFSAgent,15,8285,True
LimitedDFSAgent,15,1105,False
UniformCostAgent,15,7002,True
BFSAgent,16,8001,True
DFSAgent,16,3242,True
LimitedDFSAgent,16,1373,False
UniformCostAgent,16,8001,True
BFSAgent,17,504,True
DFSAgent,17,2680,True
LimitedDFSAgent,17,941,True
UniformCostAgent,17,504,True
BFSAgent,18,2209,True
DFSAgent,18,1743,True
LimitedDFSAgent,18,2658,False
UniformCostAgent,18,2209,True
BFSAgent,19,1056,True
DFSAgent,19,3808,True
LimitedDFSAgent,19,1459,False
UniformCostAgent,19,1056,True
BFSAgent,20,4408,True
DFSAgent,20,4906,True
LimitedDFSAgent,20,2635,False
UniformCostAgent,20,4408,True
BFSAgent,21,8969,True
DFSAgent,21,6454,True
LimitedDFSAgent,21,2115,False
UniformCostAgent,21,8969,True
BFSAgent,22,4840,True
DFSAgent,22,507,True
LimitedDFSAgent,22,528,True
UniformCostAgent,22,4840,True
BFSAgent,23,4120,True
DFSAgent,23,4120,True
LimitedDFSAgent,23,1755,False
UniformCostAgent,23,4120,True
BFSAgent,24,1730,True
DFSAgent,24,8137,True
LimitedDFSAgent,24,745,True
UniformCostAgent,24,1730,True
BFSAgent,25,3436,True
DFSAgent,25,4462,True
LimitedDFSAgent,25,886,True
UniformCostAgent,25,3436,True
BFSAgent,26,419,True
DFSAgent,26,2296,True
LimitedDFSAgent,26,1215,True
UniformCostAgent,26,419,True
BFSAgent,27,5170,True
DFSAgent,27,5785,True
LimitedDFSAgent,27,5491,False
UniformCostAgent,27,5170,True
BFSAgent,28,3962,True
DFSAgent,28,3047,True
LimitedDFSAgent,28,1604,False
UniformCostAgent,28,3962,True
BFSAgent,29,469,True
DFSAgent,29,4808,True
LimitedDFSAgent,29,624,True
UniformCostAgent,29,469,True
